time,h
1.18E-03,0.00E+00
1.19E-03,2.27E-02
1.19E-03,0.00E+00
1.20E-03,2.27E-02
1.20E-03,0.00E+00
1.20E-03,2.35E-02
1.21E-03,0.00E+00
1.21E-03,2.35E-02
1.22E-03,0.00E+00
1.22E-03,2.33E-02
1.22E-03,0.00E+00
1.23E-03,2.35E-02
1.23E-03,2.33E-02
1.24E-03,0.00E+00
1.24E-03,0.00E+00
1.24E-03,0.00E+00
1.25E-03,0.00E+00
1.25E-03,2.27E-02
1.26E-03,0.00E+00
1.26E-03,2.27E-02
1.26E-03,2.33E-02
1.27E-03,0.00E+00
1.27E-03,0.00E+00
1.28E-03,2.30E-02
1.28E-03,0.00E+00
1.28E-03,2.30E-02
1.29E-03,0.00E+00
1.29E-03,2.27E-02
1.30E-03,0.00E+00
1.30E-03,2.35E-02
1.30E-03,2.30E-02
1.31E-03,0.00E+00
1.31E-03,2.33E-02
1.32E-03,0.00E+00
1.32E-03,-4.70E-02
1.32E-03,2.27E-02
1.33E-03,0.00E+00
1.33E-03,2.27E-02
1.34E-03,0.00E+00
1.34E-03,0.00E+00
1.34E-03,2.27E-02
1.35E-03,0.00E+00
1.35E-03,0.00E+00
1.36E-03,2.35E-02
1.36E-03,2.30E-02
1.36E-03,0.00E+00
1.37E-03,0.00E+00
1.37E-03,2.27E-02
1.38E-03,0.00E+00
1.38E-03,2.27E-02
1.38E-03,2.30E-02
1.39E-03,0.00E+00
1.39E-03,2.33E-02
1.40E-03,0.00E+00
1.40E-03,2.27E-02
1.40E-03,0.00E+00
1.41E-03,0.00E+00
1.41E-03,0.00E+00
1.42E-03,0.00E+00
1.42E-03,2.33E-02
1.42E-03,0.00E+00
1.43E-03,2.27E-02
1.43E-03,0.00E+00
1.44E-03,2.30E-02
1.44E-03,0.00E+00
1.44E-03,0.00E+00
1.45E-03,0.00E+00
1.45E-03,2.33E-02
1.46E-03,2.33E-02
1.46E-03,0.00E+00
1.46E-03,2.30E-02
1.47E-03,0.00E+00
1.47E-03,0.00E+00
1.48E-03,2.33E-02
1.48E-03,0.00E+00
1.48E-03,2.33E-02
1.49E-03,0.00E+00
1.49E-03,2.33E-02
1.50E-03,0.00E+00
1.50E-03,2.27E-02
1.50E-03,0.00E+00
1.51E-03,2.27E-02
1.51E-03,0.00E+00
1.52E-03,2.33E-02
1.52E-03,0.00E+00
1.52E-03,2.35E-02
1.53E-03,0.00E+00
1.53E-03,2.35E-02
1.54E-03,0.00E+00
1.54E-03,0.00E+00
1.54E-03,0.00E+00
1.55E-03,2.27E-02
1.55E-03,0.00E+00
1.56E-03,2.30E-02
1.56E-03,2.30E-02
1.56E-03,0.00E+00
1.57E-03,0.00E+00
1.57E-03,2.35E-02
1.58E-03,0.00E+00
1.58E-03,2.35E-02
1.58E-03,2.30E-02
1.59E-03,0.00E+00
1.59E-03,0.00E+00
1.60E-03,0.00E+00
1.60E-03,0.00E+00
1.60E-03,2.27E-02
1.61E-03,0.00E+00
1.61E-03,2.27E-02
1.62E-03,0.00E+00
1.62E-03,2.30E-02
1.62E-03,0.00E+00
1.63E-03,2.35E-02
1.63E-03,0.00E+00
1.64E-03,2.27E-02
1.64E-03,0.00E+00
1.64E-03,0.00E+00
1.65E-03,2.30E-02
1.65E-03,0.00E+00
1.66E-03,0.00E+00
1.66E-03,2.27E-02
1.66E-03,0.00E+00
1.67E-03,2.27E-02
1.67E-03,0.00E+00
1.68E-03,2.27E-02
1.68E-03,0.00E+00
1.68E-03,2.27E-02
1.69E-03,0.00E+00
1.69E-03,2.30E-02
1.70E-03,0.00E+00
1.70E-03,2.27E-02
1.70E-03,0.00E+00
1.71E-03,0.00E+00
1.71E-03,0.00E+00
1.72E-03,2.33E-02
1.72E-03,0.00E+00
1.72E-03,2.30E-02
1.73E-03,0.00E+00
1.73E-03,2.27E-02
1.74E-03,0.00E+00
1.74E-03,2.27E-02
1.74E-03,0.00E+00
1.75E-03,2.30E-02
1.75E-03,0.00E+00
1.76E-03,2.27E-02
1.76E-03,0.00E+00
1.76E-03,0.00E+00
1.77E-03,2.33E-02
1.77E-03,0.00E+00
1.78E-03,0.00E+00
1.78E-03,2.33E-02
1.78E-03,0.00E+00
1.79E-03,0.00E+00
1.79E-03,0.00E+00
1.80E-03,2.30E-02
1.80E-03,0.00E+00
1.80E-03,2.30E-02
1.81E-03,0.00E+00
1.81E-03,0.00E+00
1.82E-03,0.00E+00
1.82E-03,0.00E+00
1.82E-03,2.33E-02
1.83E-03,0.00E+00
1.83E-03,0.00E+00
1.84E-03,2.30E-02
1.84E-03,0.00E+00
1.84E-03,2.35E-02
1.85E-03,0.00E+00
1.85E-03,0.00E+00
1.86E-03,0.00E+00
1.86E-03,2.30E-02
1.86E-03,2.27E-02
1.87E-03,0.00E+00
1.87E-03,0.00E+00
1.88E-03,2.33E-02
1.88E-03,0.00E+00
1.88E-03,2.27E-02
1.89E-03,0.00E+00
1.89E-03,2.27E-02
1.90E-03,0.00E+00
1.90E-03,2.27E-02
1.90E-03,0.00E+00
1.91E-03,2.27E-02
1.91E-03,0.00E+00
1.92E-03,2.30E-02
1.92E-03,0.00E+00
1.92E-03,2.27E-02
1.93E-03,2.27E-02
1.93E-03,0.00E+00
1.94E-03,0.00E+00
1.94E-03,2.27E-02
1.94E-03,0.00E+00
1.95E-03,0.00E+00
1.95E-03,0.00E+00
1.96E-03,0.00E+00
1.96E-03,0.00E+00
1.96E-03,2.35E-02
1.97E-03,0.00E+00
1.97E-03,2.27E-02
1.98E-03,2.27E-02
1.98E-03,0.00E+00
1.98E-03,0.00E+00
1.99E-03,2.30E-02
1.99E-03,0.00E+00
2.00E-03,2.35E-02
