time,h
4.18E-04,1.00E+00
4.19E-04,9.77E-01
4.20E-04,9.77E-01
4.21E-04,9.76E-01
4.22E-04,1.00E+00
4.23E-04,9.77E-01
4.24E-04,1.00E+00
4.25E-04,9.77E-01
4.26E-04,1.00E+00
4.27E-04,9.77E-01
4.28E-04,1.00E+00
4.29E-04,9.53E-01
4.30E-04,1.00E+00
4.31E-04,9.77E-01
4.32E-04,9.77E-01
4.33E-04,1.02E+00
4.34E-04,9.77E-01
4.35E-04,1.00E+00
4.36E-04,9.77E-01
4.37E-04,1.00E+00
4.38E-04,9.77E-01
4.39E-04,1.00E+00
4.40E-04,1.00E+00
4.41E-04,9.77E-01
4.42E-04,9.77E-01
4.43E-04,1.00E+00
4.44E-04,1.00E+00
4.45E-04,1.00E+00
4.46E-04,1.00E+00
4.47E-04,1.00E+00
4.48E-04,9.77E-01
4.49E-04,1.00E+00
4.50E-04,1.00E+00
4.51E-04,1.00E+00
4.52E-04,1.00E+00
4.53E-04,1.00E+00
4.54E-04,9.77E-01
4.55E-04,1.02E+00
4.56E-04,1.00E+00
4.57E-04,1.00E+00
4.58E-04,9.77E-01
4.59E-04,1.02E+00
4.60E-04,9.77E-01
4.61E-04,1.02E+00
4.62E-04,1.02E+00
4.63E-04,9.77E-01
4.64E-04,9.77E-01
4.65E-04,1.02E+00
4.66E-04,9.77E-01
4.67E-04,1.02E+00
4.68E-04,1.00E+00
4.69E-04,1.00E+00
4.70E-04,1.02E+00
4.71E-04,9.77E-01
4.72E-04,1.00E+00
4.73E-04,1.00E+00
4.74E-04,1.00E+00
4.75E-04,9.77E-01
4.76E-04,1.02E+00
4.77E-04,9.77E-01
4.78E-04,9.77E-01
4.79E-04,1.02E+00
4.80E-04,1.02E+00
4.81E-04,9.77E-01
4.82E-04,1.02E+00
4.83E-04,9.77E-01
4.84E-04,1.00E+00
4.85E-04,1.00E+00
4.86E-04,1.02E+00
4.87E-04,9.77E-01
4.88E-04,1.00E+00
4.89E-04,1.00E+00
4.90E-04,1.02E+00
4.91E-04,9.77E-01
4.92E-04,1.02E+00
4.93E-04,9.53E-01
4.94E-04,1.00E+00
4.95E-04,1.00E+00
4.96E-04,1.00E+00
4.97E-04,1.00E+00
4.98E-04,1.02E+00
4.99E-04,9.77E-01
5.00E-04,1.02E+00
5.01E-04,9.77E-01
5.02E-04,9.77E-01
5.03E-04,1.02E+00
5.04E-04,1.00E+00
5.05E-04,1.00E+00
5.06E-04,1.00E+00
5.07E-04,1.00E+00
5.08E-04,1.02E+00
5.09E-04,9.77E-01
5.10E-04,9.77E-01
5.11E-04,1.02E+00
5.12E-04,1.00E+00
5.13E-04,1.00E+00
5.14E-04,1.02E+00
5.15E-04,9.77E-01
